name,image,price,url
Bulbasaur,https://scrapeme.live/wp-content/uploads/2018/08/001-350x350.png,£63.00,https://scrapeme.live/shop/Bulbasaur/
Ivysaur,https://scrapeme.live/wp-content/uploads/2018/08/002-350x350.png,£87.00,https://scrapeme.live/shop/Ivysaur/
Venusaur,https://scrapeme.live/wp-content/uploads/2018/08/003-350x350.png,£105.00,https://scrapeme.live/shop/Venusaur/
Charmander,https://scrapeme.live/wp-content/uploads/2018/08/004-350x350.png,£48.00,https://scrapeme.live/shop/Charmander/
Charmeleon,https://scrapeme.live/wp-content/uploads/2018/08/005-350x350.png,£165.00,https://scrapeme.live/shop/Charmeleon/
Charizard,https://scrapeme.live/wp-content/uploads/2018/08/006-350x350.png,£156.00,https://scrapeme.live/shop/Charizard/
Squirtle,https://scrapeme.live/wp-content/uploads/2018/08/007-350x350.png,£130.00,https://scrapeme.live/shop/Squirtle/
Wartortle,https://scrapeme.live/wp-content/uploads/2018/08/008-350x350.png,£123.00,https://scrapeme.live/shop/Wartortle/
Blastoise,https://scrapeme.live/wp-content/uploads/2018/08/009-350x350.png,£76.00,https://scrapeme.live/shop/Blastoise/
Caterpie,https://scrapeme.live/wp-content/uploads/2018/08/010-350x350.png,£73.00,https://scrapeme.live/shop/Caterpie/
Metapod,https://scrapeme.live/wp-content/uploads/2018/08/011-350x350.png,£148.00,https://scrapeme.live/shop/Metapod/
Butterfree,https://scrapeme.live/wp-content/uploads/2018/08/012-350x350.png,£162.00,https://scrapeme.live/shop/Butterfree/
Weedle,https://scrapeme.live/wp-content/uploads/2018/08/013-350x350.png,£25.00,https://scrapeme.live/shop/Weedle/
Kakuna,https://scrapeme.live/wp-content/uploads/2018/08/014-350x350.png,£148.00,https://scrapeme.live/shop/Kakuna/
Beedrill,https://scrapeme.live/wp-content/uploads/2018/08/015-350x350.png,£168.00,https://scrapeme.live/shop/Beedrill/
Pidgey,https://scrapeme.live/wp-content/uploads/2018/08/016-350x350.png,£159.00,https://scrapeme.live/shop/Pidgey/
Comfey,https://scrapeme.live/wp-content/uploads/2018/08/764-350x350.png,£28.00,https://scrapeme.live/shop/Comfey/
Oranguru,https://scrapeme.live/wp-content/uploads/2018/08/765-350x350.png,£139.00,https://scrapeme.live/shop/Oranguru/
Passimian,https://scrapeme.live/wp-content/uploads/2018/08/766-350x350.png,£182.00,https://scrapeme.live/shop/Passimian/
Wimpod,https://scrapeme.live/wp-content/uploads/2018/08/767-350x350.png,£137.00,https://scrapeme.live/shop/Wimpod/
Golisopod,https://scrapeme.live/wp-content/uploads/2018/08/768-350x350.png,£32.00,https://scrapeme.live/shop/Golisopod/
Sandygast,https://scrapeme.live/wp-content/uploads/2018/08/769-350x350.png,£131.00,https://scrapeme.live/shop/Sandygast/
Palossand,https://scrapeme.live/wp-content/uploads/2018/08/770-350x350.png,£187.00,https://scrapeme.live/shop/Palossand/
Pyukumuku,https://scrapeme.live/wp-content/uploads/2018/08/771-350x350.png,£97.00,https://scrapeme.live/shop/Pyukumuku/
Silvally,https://scrapeme.live/wp-content/uploads/2018/08/773-350x350.png,£133.00,https://scrapeme.live/shop/Silvally/
Komala,https://scrapeme.live/wp-content/uploads/2018/08/775-350x350.png,£65.00,https://scrapeme.live/shop/Komala/
Turtonator,https://scrapeme.live/wp-content/uploads/2018/08/776-350x350.png,£117.00,https://scrapeme.live/shop/Turtonator/
Togedemaru,https://scrapeme.live/wp-content/uploads/2018/08/777-350x350.png,£45.00,https://scrapeme.live/shop/Togedemaru/
Drampa,https://scrapeme.live/wp-content/uploads/2018/08/780-350x350.png,£133.00,https://scrapeme.live/shop/Drampa/
Jangmo-o,https://scrapeme.live/wp-content/uploads/2018/08/782-350x350.png,£107.00,https://scrapeme.live/shop/Jangmo-o/
Hakamo-o,https://scrapeme.live/wp-content/uploads/2018/08/783-350x350.png,£57.00,https://scrapeme.live/shop/Hakamo-o/
Kommo-o,https://scrapeme.live/wp-content/uploads/2018/08/784-350x350.png,£170.00,https://scrapeme.live/shop/Kommo-o/
Naganadel,https://scrapeme.live/wp-content/uploads/2018/08/804-350x350.png,£30.00,https://scrapeme.live/shop/Naganadel/
Stakataka,https://scrapeme.live/wp-content/uploads/2018/08/805-350x350.png,£190.00,https://scrapeme.live/shop/Stakataka/
Blacephalon,https://scrapeme.live/wp-content/uploads/2018/08/806-350x350.png,£149.00,https://scrapeme.live/shop/Blacephalon/
Pidgeotto,https://scrapeme.live/wp-content/uploads/2018/08/017-350x350.png,£84.00,https://scrapeme.live/shop/Pidgeotto/
Pidgeot,https://scrapeme.live/wp-content/uploads/2018/08/018-350x350.png,£185.00,https://scrapeme.live/shop/Pidgeot/
Rattata,https://scrapeme.live/wp-content/uploads/2018/08/019-350x350.png,£128.00,https://scrapeme.live/shop/Rattata/
Raticate,https://scrapeme.live/wp-content/uploads/2018/08/020-350x350.png,£60.00,https://scrapeme.live/shop/Raticate/
Spearow,https://scrapeme.live/wp-content/uploads/2018/08/021-350x350.png,£133.00,https://scrapeme.live/shop/Spearow/
Fearow,https://scrapeme.live/wp-content/uploads/2018/08/022-350x350.png,£95.00,https://scrapeme.live/shop/Fearow/
Ekans,https://scrapeme.live/wp-content/uploads/2018/08/023-350x350.png,£55.00,https://scrapeme.live/shop/Ekans/
Arbok,https://scrapeme.live/wp-content/uploads/2018/08/024-350x350.png,£182.00,https://scrapeme.live/shop/Arbok/
Pikachu,https://scrapeme.live/wp-content/uploads/2018/08/025-350x350.png,£37.00,https://scrapeme.live/shop/Pikachu/
Raichu,https://scrapeme.live/wp-content/uploads/2018/08/026-350x350.png,£140.00,https://scrapeme.live/shop/Raichu/
Sandshrew,https://scrapeme.live/wp-content/uploads/2018/08/027-350x350.png,£82.00,https://scrapeme.live/shop/Sandshrew/
Sandslash,https://scrapeme.live/wp-content/uploads/2018/08/028-350x350.png,£155.00,https://scrapeme.live/shop/Sandslash/
Nidorina,https://scrapeme.live/wp-content/uploads/2018/08/030-350x350.png,£28.00,https://scrapeme.live/shop/Nidorina/
Nidoqueen,https://scrapeme.live/wp-content/uploads/2018/08/031-350x350.png,£106.00,https://scrapeme.live/shop/Nidoqueen/
Nidorino,https://scrapeme.live/wp-content/uploads/2018/08/033-350x350.png,£179.00,https://scrapeme.live/shop/Nidorino/
Nidoking,https://scrapeme.live/wp-content/uploads/2018/08/034-350x350.png,£31.00,https://scrapeme.live/shop/Nidoking/
Dugtrio,https://scrapeme.live/wp-content/uploads/2018/08/051-350x350.png,£111.00,https://scrapeme.live/shop/Dugtrio/
Meowth,https://scrapeme.live/wp-content/uploads/2018/08/052-350x350.png,£131.00,https://scrapeme.live/shop/Meowth/
Persian,https://scrapeme.live/wp-content/uploads/2018/08/053-350x350.png,£200.00,https://scrapeme.live/shop/Persian/
Psyduck,https://scrapeme.live/wp-content/uploads/2018/08/054-350x350.png,£182.00,https://scrapeme.live/shop/Psyduck/
Golduck,https://scrapeme.live/wp-content/uploads/2018/08/055-350x350.png,£31.00,https://scrapeme.live/shop/Golduck/
Mankey,https://scrapeme.live/wp-content/uploads/2018/08/056-350x350.png,£125.00,https://scrapeme.live/shop/Mankey/
Primeape,https://scrapeme.live/wp-content/uploads/2018/08/057-350x350.png,£86.00,https://scrapeme.live/shop/Primeape/
Growlithe,https://scrapeme.live/wp-content/uploads/2018/08/058-350x350.png,£30.00,https://scrapeme.live/shop/Growlithe/
Arcanine,https://scrapeme.live/wp-content/uploads/2018/08/059-350x350.png,£69.00,https://scrapeme.live/shop/Arcanine/
Poliwag,https://scrapeme.live/wp-content/uploads/2018/08/060-350x350.png,£174.00,https://scrapeme.live/shop/Poliwag/
Poliwhirl,https://scrapeme.live/wp-content/uploads/2018/08/061-350x350.png,£121.00,https://scrapeme.live/shop/Poliwhirl/
Poliwrath,https://scrapeme.live/wp-content/uploads/2018/08/062-350x350.png,£152.00,https://scrapeme.live/shop/Poliwrath/
Abra,https://scrapeme.live/wp-content/uploads/2018/08/063-350x350.png,£141.00,https://scrapeme.live/shop/Abra/
Kadabra,https://scrapeme.live/wp-content/uploads/2018/08/064-350x350.png,£129.00,https://scrapeme.live/shop/Kadabra/
Alakazam,https://scrapeme.live/wp-content/uploads/2018/08/065-350x350.png,£40.00,https://scrapeme.live/shop/Alakazam/
Machop,https://scrapeme.live/wp-content/uploads/2018/08/066-350x350.png,£166.00,https://scrapeme.live/shop/Machop/
Clefairy,https://scrapeme.live/wp-content/uploads/2018/08/035-350x350.png,£160.00,https://scrapeme.live/shop/Clefairy/
